id,ano,titulo,url,fonte,data_publicacao,data_coleta,categoria,sentimento,temas,palavras_chave,relevancia,regiao
2025_021,2025,N/A,https://news.google.com/read/CBMiVkFVX3lxTE0yY2dhYmRQY0NQaGp5QmVUSUNJNEZsVkVnUDR1dWpHSEFKemVMM2U3bHI5Nm92WW9ZY2ZxTmF2UldZSGFRNUVSRHpfZWhZcERBalZIQ3N3?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,instagram.com,2025-04-12T13:18:44Z,2025-08-23 20:34:36,Geracao Z no mercado de trabalho,negativo,outros,,0.6327491001228573,Nacional
2025_022,2025,N/A,https://news.google.com/read/CBMiswFBVV95cUxQbjBsV0FVUkU4SzJNWUt5dXZqdWJta2JZRVB6eWsyaHFkY0pka3NVYVRrNVl6eXZfb1FWUkppc1QyemNlSUxTc2RBUmhTbWxheENGNzFKWjBaQ1IyOGVTNklfT1VRRVVPZGliVl9kZmhGZXpRUDZpNUU4N1NWSFJnRTR6eHZBTEV0WjdvTEJWQ2J0cUprd1pfQUpjOFhtZ2FmYWtPaHBfa0x0aGh1TnRuS2ptNA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Forbes Brasil,2025-01-08T08:00:00Z,2025-08-23 20:34:36,Geracao Z no mercado de trabalho,positivo,outros,,0.9030024524612746,Nacional
2025_023,2025,N/A,https://news.google.com/read/CBMiogFBVV95cUxQRXlmcWFpR1B3TkEtcmhRZkdPaUFJcFZUZmVJbjhqSGV3ZTl0R0JIb0h0WmozOWoyZzhaYnljRlhzWjYyVDVuMXlXOEFhTG9ENWloU0loa2IweXRWeG54YmxuMi1RZFhidlNmcndFWWs4RUQ0OUIyVkZkQkYwTU9NQjByN2lhV3FuaUNZRFVYajU4cFBWMkNpbGY5YTRqQVoxa0E?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Forbes Brasil,2025-03-07T08:00:00Z,2025-08-23 20:34:37,Geracao Z no mercado de trabalho,negativo,outros,,0.7256788251935151,Nacional
2025_024,2025,N/A,https://news.google.com/read/CBMixAFBVV95cUxPRWVkZjY5Y1NSTTd4T0hvVUtzYy1RQ1pKa0dBcmozRjYxU3RnLVVYbERIRUhHd2xOdjBUQUx5dGhDY2F6Z2RkSTlScHllVWlyX2FVbl91Tk1kc2xfRWlqWGxyUG1tRjZ6NnNtQkNFdXJCMXM5STdIbElwRnNKSkVUQ295LTk2dFk0QVZwV3FHSnA0clRqc1cyZUJFTDlvZzFTU2JJNVdPdkI4cEFZcVpWVTI0aUItMk9qWUkyOE9IVVNRbU8z?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,CNN Brasil,2025-05-12T07:00:00Z,2025-08-23 20:34:37,Geracao Z no mercado de trabalho,negativo,outros,,0.7345431373940117,Nacional
2025_025,2025,N/A,https://news.google.com/read/CBMiwAFBVV95cUxPb280SUVHb0ZhYzU5S2JKMU1QY0F0Ymt6NnpiTlFBOEp0c2Z1UHZsMFhrUFBtVHZPeVJ3b1B2QjByVGNQRmZMV1dYcnBUdmcwSllhZk9qY2dOTkhqT2pyNFB5ai1iUm5uUklVTzdVWF8zdU5tZjFwaW9oYTZldzRUaEJDWWRqU1hIWWZZNGNsV01EZWhFVV8wV2RoNi1NTFdpMWtWNVlja2xqOU1INXBfb2VjbV9uVTdJRWRidmV2RG7SAcYBQVVfeXFMTnkzaEQ5ZWpWZHhnSkJEblVzOXZoOUJtVUluQjRZcF8ycl9ZampqbzA4dkJvaS1FUkNIblQ5YmpKMzBQQzlVZFFVR0xvWHhUMm9QdFBqWlY3bWlrNk1DTy1OYmZqaFZLczVISXZDaHoybzJ2NVVFUmJMcFFDSkExUUhOOXdQLU9vX0RwZnNWYWF2Yl9RMkx4YjJfclpmTjQ5b3BJN0FSZ1BjXzJ5NE5XT1pIdEtyVTUzZE15ZTlOLU5MSXI1R2V3?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,Folha de S.Paulo,2025-04-20T07:00:00Z,2025-08-23 20:34:37,Geracao Z no mercado de trabalho,negativo,outros,,0.7419790709638174,Nacional
2025_026,2025,N/A,https://news.google.com/read/CBMiswFBVV95cUxNNUZBRUdBLU1fME5nVmREeXZuNE5LU3dBajRtbjlYd01nSHhHTFZfTEVfTTRZbFZ1YlVmTEJibmtDeVVlNVpoNXhUamF5aVY5UmN4X2FwblA3ZnFVaTF4ZUNZWkU5Vk14VnVzUHpJODJBNG1FcUJzcUdEbTVzRUh2RnBlWk1zTzI2MHgxckcxcVhHREZIcUdvbUIyWlBiU1hUd0RPbFh0MWZXa0lzWWIzbWVocw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,FIESC,2025-03-10T07:00:00Z,2025-08-23 20:34:37,Geracao Z no mercado de trabalho,negativo,outros,,0.8183454838744466,Nacional
2025_027,2025,N/A,https://news.google.com/read/CBMiwwFBVV95cUxPWDFhTnpxTnpERDk5TXljdmMyRXhyZ2NHeW41YzM1N2h3WTBfelhSYUs1MUpVMXhlMnE2R1NRVUlvT0QzM2Q2Vm96SnBBU3FtWldqNlByRGhKS044TnhQLVBVekJBelh4elVKd3lWSnRIZU03TjJvOTB0c2xLMk1pc0ZBZ005RlRGemV1RHF4THZJWUIwdHlra0dXLUFpXzBDWGlPZDV6cTc3MHJUbmpjUWhHa1ZzcFNNMXk4YTBjMFJ3bDTSAcgBQVVfeXFMTk5hX0k3eHRybWR0UUVyX0pCWTRKQklDT3hvc2lfc3QwTmZ5REZCcFJ1SmNzc2FNcUttMXVqUjRJanRla0Zlck5Oby1QMUI5WUFXZ2J4REhvVGx4NmNxMU9TTl9mVkZzTi15Uy1qd05yZFBvaFIwejZKbW40d0JwbjBua1BMTG01aTZ3dmF4UGN2SGhnamdPdnRMZUNxamNTUkc2OFBNcnNjSGN0aTh4cnNHbHFKXzBveE9vVk1ma3lOQWFiMEVSQmU?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,InfoMoney,2025-08-04T07:00:00Z,2025-08-23 20:34:37,Geracao Z no mercado de trabalho,negativo,outros,,0.7299059339727644,Nacional
2025_028,2025,N/A,https://news.google.com/read/CBMiiwFBVV95cUxQSUlFcnBtc2N6cnZ1Y2dyQU8zekFiMnMxZDF4bzBRdlJGYTJ3bEVnckJBaVA5clVaektWaVAtQlRkOGRzV2FJWWlqZ1otOWtSQVBUaEVWN1pnWGdHcVFoVUc4UmNLWjlKV3N2NkZwdlZIbDQ2U1FPaDNfb3A4ZS1OZFZ3amFCT181MVVv?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,CNDL - Confederação Nacional de Dirigentes Lojistas,2025-07-19T11:29:03Z,2025-08-23 20:34:38,Geracao Z no mercado de trabalho,negativo,outros,,0.8992199302670729,Nacional
2025_029,2025,N/A,https://news.google.com/read/CBMiggFBVV95cUxNblIxS1dwUDRwZzZuekM3VTRZTVdkLWFfTGNHME9HT2IwdEVQSW9RMHhnVzZJNGpkR2xFT3RZeG56S1RuYm0wM2F4Rm5FOUdCVUtUZUFyLUJaWFc2TE1HVXl6YlMtc2ZWNjBtcVlub0NUZUhFbnRrUXBkUGZVQnpVaTJn?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,UOL Economia,2024-11-12T08:00:00Z,2025-08-23 20:34:38,Geracao Z no mercado de trabalho,negativo,outros,,0.7642039499946356,Nacional
2025_030,2025,N/A,https://news.google.com/read/CBMitAFBVV95cUxPOWhXU2JFdUpVNlhhdEE0Nm5FS05MT1Nzb1I3LTJlSUkxemlYN21HdkxpOVROYWtRNzFUbWZYYVZKM29IUS12OFo1N1k4RUpwUDE1NVIwMW9yM2xBR2tPeDV5UEdBOVhldWRGNS01V1htOThvMGxMZ1Ffam1fUkJFbDN1aGxhVVVZOGxsbllDNlI0Y1RMalJSM0dXTGZQT3JVaEhrd1NXNlp4dTJacmlDeUtaT3c?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,FIESC,2025-03-03T08:00:00Z,2025-08-23 20:34:38,Geracao Z no mercado de trabalho,negativo,outros,,0.8118286018198471,Nacional
